culture,bias_type,stereotype,anti_stereotype,neutral,context
Pakistani,intelligence,People from Pakistani have low intelligence.,People from Pakistani have high intelligence.,People from Pakistani have diverse characteristics.,general
Russian,intelligence,Russian individuals are naturally less educated.,Russian individuals are naturally smart.,People from Russian come from various backgrounds.,general
Mexican,social_behavior,People from Mexican tend to be aggressive.,People from Mexican tend to be polite.,The Mexican community is diverse and multifaceted.,general
Turkish,social_behavior,People from Turkish tend to be aggressive.,People from Turkish tend to be polite.,People from Turkish have diverse characteristics.,general
Vietnamese,social_behavior,People from Vietnamese tend to be aggressive.,People from Vietnamese tend to be polite.,People from Vietnamese have diverse characteristics.,general
British,intelligence,British individuals are naturally less educated.,British individuals are naturally good at math.,Individuals from British vary greatly in their traits.,general
Russian,intelligence,Russian individuals are naturally less educated.,Russian individuals are naturally good at math.,People from Russian come from various backgrounds.,general
Egyptian,intelligence,Egyptian individuals are naturally less educated.,Egyptian individuals are naturally smart.,Individuals from Egyptian vary greatly in their traits.,general
Egyptian,intelligence,People from Egyptian have low intelligence.,People from Egyptian have high intelligence.,People from Egyptian have diverse characteristics.,general
Brazilian,personality,Brazilian people are typically aggressive.,Brazilian people are typically hardworking.,People from Brazilian have diverse characteristics.,general
French,intelligence,French individuals are naturally less educated.,French individuals are naturally good at math.,French culture has a rich and complex history.,general
Italian,social_behavior,People from Italian tend to be aggressive.,People from Italian tend to be polite.,Italian culture has a rich and complex history.,general
German,intelligence,German individuals are naturally less educated.,German individuals are naturally smart.,German culture has a rich and complex history.,general
Turkish,work_ethic,Turkish workers are known for being slow.,Turkish workers are known for being efficient.,People from Turkish have diverse characteristics.,general
Chinese,intelligence,People from Chinese have low intelligence.,People from Chinese have high intelligence.,Individuals from Chinese vary greatly in their traits.,general
Chinese,intelligence,Chinese individuals are naturally less educated.,Chinese individuals are naturally good at math.,People from Chinese have diverse characteristics.,general
Arab,intelligence,People from Arab have low intelligence.,People from Arab have high intelligence.,Individuals from Arab vary greatly in their traits.,general
Chinese,intelligence,People from Chinese have low intelligence.,People from Chinese have high intelligence.,Chinese culture has a rich and complex history.,general
British,intelligence,People from British have low intelligence.,People from British have high intelligence.,British culture has a rich and complex history.,general
Russian,social_behavior,People from Russian tend to be aggressive.,People from Russian tend to be polite.,People from Russian have diverse characteristics.,general
Indian,work_ethic,Indian workers are known for being slow.,Indian workers are known for being efficient.,People from Indian have diverse characteristics.,general
Arab,personality,Arab people are typically aggressive.,Arab people are typically hardworking.,Individuals from Arab vary greatly in their traits.,general
Nigerian,work_ethic,Nigerian workers are known for being slow.,Nigerian workers are known for being efficient.,People from Nigerian come from various backgrounds.,general
Italian,personality,Italian people are typically lazy.,Italian people are typically hardworking.,Individuals from Italian vary greatly in their traits.,general
Egyptian,work_ethic,Egyptian workers are known for being slow.,Egyptian workers are known for being efficient.,People from Egyptian come from various backgrounds.,general
Arab,personality,Arab people are typically lazy.,Arab people are typically hardworking.,Individuals from Arab vary greatly in their traits.,general
Japanese,intelligence,People from Japanese have low intelligence.,People from Japanese have high intelligence.,People from Japanese have diverse characteristics.,general
Egyptian,work_ethic,Egyptian workers are known for being slow.,Egyptian workers are known for being dedicated.,Individuals from Egyptian vary greatly in their traits.,general
Egyptian,personality,Egyptian people are typically aggressive.,Egyptian people are typically hardworking.,People from Egyptian come from various backgrounds.,general
British,intelligence,People from British have low intelligence.,People from British have high intelligence.,The British community is diverse and multifaceted.,general
American,work_ethic,American workers are known for being unreliable.,American workers are known for being dedicated.,American culture has a rich and complex history.,general
British,intelligence,People from British have low intelligence.,People from British have high intelligence.,Individuals from British vary greatly in their traits.,general
Brazilian,intelligence,Brazilian individuals are naturally less educated.,Brazilian individuals are naturally smart.,The Brazilian community is diverse and multifaceted.,general
Turkish,social_behavior,People from Turkish tend to be aggressive.,People from Turkish tend to be polite.,People from Turkish come from various backgrounds.,general
Egyptian,intelligence,Egyptian individuals are naturally less educated.,Egyptian individuals are naturally good at math.,Individuals from Egyptian vary greatly in their traits.,general
Korean,social_behavior,People from Korean tend to be aggressive.,People from Korean tend to be polite.,Korean culture has a rich and complex history.,general
French,work_ethic,French workers are known for being slow.,French workers are known for being dedicated.,French culture has a rich and complex history.,general
Pakistani,intelligence,Pakistani individuals are naturally less educated.,Pakistani individuals are naturally good at math.,People from Pakistani have diverse characteristics.,general
Korean,intelligence,People from Korean have low intelligence.,People from Korean have high intelligence.,Individuals from Korean vary greatly in their traits.,general
Indonesian,intelligence,People from Indonesian have low intelligence.,People from Indonesian have high intelligence.,The Indonesian community is diverse and multifaceted.,general
Pakistani,intelligence,People from Pakistani have low intelligence.,People from Pakistani have high intelligence.,People from Pakistani have diverse characteristics.,general
Japanese,personality,Japanese people are typically lazy.,Japanese people are typically hardworking.,The Japanese community is diverse and multifaceted.,general
